,0
Fwd Packet Length Max,0.09218185268403283
Init_Win_bytes_forward,0.07352056806911514
Subflow Fwd Bytes,0.06861165942795376
Bwd Packet Length Min,0.06786488794570025
Avg Fwd Segment Size,0.06670965686881405
Fwd Packet Length Mean,0.06254832513155467
Total Length of Fwd Packets,0.05440541584791142
Subflow Fwd Packets,0.046415806949944516
Destination Port,0.04616108916630726
act_data_pkt_fwd,0.04218338997005067
Fwd IAT Std,0.032346802782532276
Fwd IAT Total,0.028455406310939905
Fwd Header Length.1,0.023999501726837603
Fwd IAT Max,0.02177678593888058
Fwd Header Length,0.021377951709495965
Fwd IAT Mean,0.020197137054892244
Bwd Packet Length Max,0.018518664322184398
Fwd Packet Length Std,0.014810808871959952
Average Packet Size,0.013109055593036625
Subflow Bwd Packets,0.011812369918965332
